Product Name,Price,Product Link
"100% Spring Water, 2.5 Gallon, 2-count, 48 Case Pallet",$549.99,https://www.costco.com/100%25-spring-water%2c-2.5-gallon%2c-2-count%2c-48-case-pallet.product.100983954.html
Dose Organic Ginger & Turmeric Daily Booster Shots 48-Ct,$79.99,https://www.costco.com/dose-organic-ginger-%2526-turmeric-daily-booster-shots-48-ct.product.4000236836.html
"Monster Energy Drink, 24 fl oz, 12-count",$36.99,/all-costco-grocery.html
"Oregon Chai, Original Organic Chai Tea Latte Concentrate, 32 fl. oz., 3-Count",$11.69,/all-costco-grocery.html
"Big Train, Vanilla Chai Tea Drink Mix, 3.5 lbs",$24.99,/all-costco-grocery.html
"Bai Antioxidant Beverage, Variety Pack, 18 fl oz, 15-count",$23.99,/all-costco-grocery.html
"Carnation, Evaporated Milk, 12 fl oz, 12-Count",$19.99,/all-costco-grocery.html
Pressed 36-count (2 oz) Wellness Shots,$89.99,https://www.costco.com/pressed-36-count-2-oz-wellness-shots.product.100655025.html
"A'cappella Classic Hot Chocolate BevBombs, 16-count",$22.99,https://www.costco.com/a'cappella-classic-hot-chocolate-bevbombs%2c-16-count.product.100709769.html
"Country Time, Drink Mix, Lemonade, 82.5 oz",$10.99,/all-costco-grocery.html
"Red Bull Energy Drink, Blueberry, 8.4 fl oz, 24-count",$41.99,/all-costco-grocery.html
"Big Train, Spiced Chai Tea Latte Drink Mix, 3.5 lbs",$23.99,/all-costco-grocery.html
"Cherry Bay Orchards Tart Cherry Concentrate 32 fl. oz., 2-pack",$39.99,https://www.costco.com/cherry-bay-orchards-tart-cherry-concentrate-32-fl.-oz.%2c-2-pack.product.100168458.html
"Nestle La Lechera, Sweetened Condensed Milk, 14 oz, 6-Count",$15.99,/all-costco-grocery.html
"Lipton Original Tea Bags, 312-count",$12.99,/all-costco-grocery.html
"Lipton, Iced Tea Mix, Lemon, 5 lbs",$10.99,/all-costco-grocery.html
"Bai Antioxidant Beverage, Variety Pack, 18 fl oz, 15-count",$23.99,/all-costco-grocery.html
"Kirkland Signature, Organic Soy Beverage, Plain, 32 fl oz, 12-Count",$17.99,/all-costco-grocery.html
"Red Bull Energy Drink, 12 fl oz, 24-count",$61.99,/all-costco-grocery.html
"Tree Top, 100% Apple Juice, 10 fl oz, 24-Count",$21.99,/all-costco-grocery.html
"CheongKwanJang Hong Sam Won Red Ginseng Drink, 1.69 fl oz, 30-Count",$26.99,/all-costco-grocery.html
"Red Bull Energy Drink, Strawberry Apricot, 8.4 fl oz, 24-count",$41.99,/all-costco-grocery.html
"Nestle, Nesquik Chocolate Drink Mix, 2.81 lbs",$9.99,/all-costco-grocery.html
Tea Forte Warming Joy Tea Chest Package,$79.99,https://www.costco.com/tea-forte-warming-joy-tea-chest-package.product.4000310614.html
"Red Bull Energy Drink, Sugar Free, 12 fl oz, 24-count",$61.99,/all-costco-grocery.html
"Horizon, Organic Low-fat Milk, 8 oz, 18-Count",$21.99,/all-costco-grocery.html
"Red Bull Energy Drink, Tropical, 8.4 fl oz, 24-count",$41.99,/all-costco-grocery.html
"Clamato, Tomato Cocktail, Original, 64 fl oz, 2-Count",$10.99,/all-costco-grocery.html
"Red Bull Energy Drink, 16 fl oz, 12-count",$39.99,/all-costco-grocery.html
"Tree Top, 100% Apple Juice, 1 Gallon, 2-Count",$11.99,/all-costco-grocery.html
"Pure Leaf Tea, Unsweetened, 16.9 fl oz, 18-count",$19.99,/all-costco-grocery.html
"Red Bull Energy Drink, Curuba Elderflower, 8.4 fl oz, 24-count",$41.99,/all-costco-grocery.html
"Big Train Vanilla Latte Mix, 3.5 lb",$23.99,/all-costco-grocery.html
"Pure Leaf Tea, Sweet Tea, 16.9 fl oz, 18-count",$19.99,/all-costco-grocery.html
"Joyburst Energy Drink, Variety, 12 fl oz, 18-count",$32.99,https://www.costco.com/joyburst-energy-drink%2c-variety%2c-12-fl-oz%2c-18-count.product.4000196072.html
"Pressed Cold-Pressed Greens, Roots & Citrus Bundle  (12 oz) 15-count",$74.99,https://www.costco.com/pressed-cold-pressed-greens%2c-roots-%2526-citrus-bundle--12-oz-15-count.product.100510075.html
"Prime Hydration Drink, Variety Pack, 16.9 fl oz, 18-count",$24.99,/all-costco-grocery.html
"Guayaki Organic Yerba Mate Tea, Enlighten Mint, 15.5 fl oz, 12-count",$29.99,/all-costco-grocery.html
Tea Forte™  Winter White Tea Bundle with 2 Cafe Cup  & Tea Trays,$99.99,https://www.costco.com/tea-forte%e2%84%a2--winter-white-tea-bundle-with-2-cafe-cup--%2526-tea-trays.product.4000204497.html
"Ito En Oi Ocha Unsweetened Green Tea, 16.9 fl oz, 12-count",$21.99,/all-costco-grocery.html
"Red Bull Energy Drink, Sugar Free, 16 oz, 12-count",$41.99,/all-costco-grocery.html
"Stash Tea, Variety Pack, 180-count",$17.49,/all-costco-grocery.html
"Red Bull Energy Drink, Watermelon, 8.4 fl oz, 24-count",$41.99,/all-costco-grocery.html
"C4 Energy Drink, Original Skittles, 16 fl oz, 12-count",$22.99,/all-costco-grocery.html
"Pulp & Press Organic Cold-Pressed Juice Variety Pack, 18-pack",$99.99,https://www.costco.com/pulp-%2526-press-organic-cold-pressed-juice-variety-pack%2c-18-pack.product.4000177381.html
"Tiesta Tea Loose Leaf Herbal Tea Variety Pack, 16 oz, 3 Bags",$69.99,https://www.costco.com/tiesta-tea-loose-leaf-herbal-tea-variety-pack%2c-16-oz%2c-3-bags.product.100987791.html
"Ocean Spray, Cranberry Juice Cocktail, 15.2 fl oz, 12-Count",$14.99,/all-costco-grocery.html
Pulp and Press 3-Day Organic Cold Pressed Juice Cleanse,$109.99,https://www.costco.com/pulp-and-press-3-day-organic-cold-pressed-juice-cleanse.product.4000064204.html
"Pulp & Press Organic Cold-Pressed Wellness Shot Pack, 48-pack",$129.99,https://www.costco.com/pulp-%2526-press-organic-cold-pressed-wellness-shot-pack%2c-48-pack.product.4000177379.html
"Bigelow Herbal Tea, Variety Pack, 168 bags",$23.99,/all-costco-grocery.html
"Epoca Cool Plus, Banana Milk, 8 fl oz, 12-count",$12.99,/all-costco-grocery.html
"Ito En Jasmine Green Tea, Unsweetened, 16.9 fl oz, 12-count",$21.99,/all-costco-grocery.html
"Bucked Up Energy Drink, Variety Pack, 16 fl oz, 12-count",$20.99,/all-costco-grocery.html
"C4 Performance Energy Drink, Grape Popsicle, 16 fl oz, 12-count",$23.49,/all-costco-grocery.html
"C4 Smart Energy Drink, Variety Pack, 12 fl oz, 15-count",$23.49,/all-costco-grocery.html
"Tang, Drink Mix, Orange, 72 oz",$11.49,/all-costco-grocery.html
"Ito En Golden Oolong Tea, Unsweetened, 16.9 oz, 12-count",$21.99,/all-costco-grocery.html
"C4 Energy Drink, Strawberry Starburst, 16 fl oz, 12-count",$23.49,/all-costco-grocery.html
